X,Y,OBJECTID,GIS_ID,GIS_FeatureKey,ShortName,Address,SchoolsType,SchoolBoards,SchoolTypes,LastEditDate,BeforeAndAfterSchoolProgram,ChildCareCentre
475124.4959,4761084,2529,1,Sir Frederick Banting - French Immersion - Secondary School,Banting,125 Sherwood Forest Sq,Public Secondary,Thames Valley District School Board,Secondary - French Immersion,2016/06/09 00:00:00+00,,
480835.1933,4759379,2530,2,H. B. Beal Secondary School,Beal,525 Dundas St,Public Secondary,Thames Valley District School Board,Secondary,2015/06/15 00:00:00+00,,
480030.2426,4759599,2531,3,Central Secondary School,Central,509 Waterloo St,Public Secondary,Thames Valley District School Board,Secondary,2015/06/15 00:00:00+00,,
485992.2845,4760799,2532,4,Clarke Road Secondary School,Clarke Road,300 Clarke Rd,Public Secondary,Thames Valley District School Board,Secondary,2015/06/15 00:00:00+00,,
483200.2596,4754921,2533,5,Sir Wilfred Laurier - French - Immersion Secondary School,Laurier,450 Millbank Dr,Public Secondary,Thames Valley District School Board,Secondary - French Immersion,2016/06/09 00:00:00+00,,
479855.269,4764493,2534,6,A. B. Lucas Secondary School,Lucas,656 Tennent Ave,Public Secondary,Thames Valley District School Board,Secondary,2015/06/15 00:00:00+00,,
482351.2633,4763576,2535,7,Montcalm Secondary School,Montcalm,1350 Highbury Ave N,Public Secondary,Thames Valley District School Board,Secondary,2015/06/15 00:00:00+00,,
474414.0195,4758263,2536,8,Oakridge Secondary School,Oakridge,1040 Oxford St W,Public Secondary,Thames Valley District School Board,Secondary,2015/06/15 00:00:00+00,,Y
476226.8578,4754838,2537,9,Saunders Secondary School,Saunders,941 Viscount Rd,Public Secondary,Thames Valley District School Board,Secondary,2015/06/15 00:00:00+00,,Y
480183.0669,4757420,2538,11,London South Collegiate Institute,South,371 Tecumseh Ave E,Public Secondary,Thames Valley District School Board,Secondary,2015/06/15 00:00:00+00,,
482099.3808,4758352,2539,12,B. Davison Seconday School,B. Davison,785 Trafalgar St,Public Secondary,Thames Valley District School Board,Secondary,2022/09/06 00:00:00+00,,
477380.5859,4756236,2540,13,Westminster Secondary School,Westminster,230 Base Line Rd W,Public Secondary,Thames Valley District School Board,Secondary,2015/06/15 00:00:00+00,,
485997.9578,4755435,2541,14,École secondaire Gabriel-Dumont - French First Language Secondary School,École secondaire Gabriel-Dumont,2463 Evans Blvd,French Public Secondary,Conseil scolaire Viamonde,Secondary,2017/01/30 00:00:00+00,,
481060.772,4762560,2542,15,École secondaire catholique Monseigneur-Bruyère - French First Language Catholic Secondary School,École secondaire catholique Monseigneur-Bruyère,920 Huron St,French Catholic Secondary,Conseil scolaire de district des écolesCatholique,Secondary,2017/01/30 00:00:00+00,,
482983.8692,4762310,2543,16,Robarts School for the Deaf,Robarts School for the Deaf,1515 Cheapside St,Public Elementary / Secondary,Provincial,Elementary / Secondary,2016/06/09 00:00:00+00,,
480460.4461,4759448,2544,17,Catholic Central High School,Catholic Central,450 Dundas St,Catholic Secondary,London District Catholic School Board,Secondary,2016/06/09 00:00:00+00,,
483012.5162,4761999,2545,18,John Paul II Catholic Secondary School,John Paul II,1300 Oxford St E,Catholic Secondary,London District Catholic School Board,Secondary,2015/06/15 00:00:00+00,,
483538.5248,4749093,2546,19,Regina Mundi Catholic College,Regina Mundi College,5250 Wellington Rd S,Catholic Secondary,London District Catholic School Board,Secondary,2016/06/09 00:00:00+00,,
472714.8163,4757436,2547,20,St. Thomas Aquinas Catholic Secondary School,St. Thomas Aquinas,1360 Oxford St W,Catholic Secondary,London District Catholic School Board,Secondary,2015/06/15 00:00:00+00,,Y
